,id,change2_original_id,patch_original_id,patch_name,date,series,newseries,submitter_individual,submitter_identity,is_correct,comment,web_url,state,commit_ref
0,0,ffmpeg-change2-12108,ffmpeg-patch-13913,"[FFmpeg-devel,v2,1/3] lavc/avs2_parser.c: fix for missing start code",2019-07-12T12:47:38,,ffmpeg-newseries-2242,ffmpeg-individual-187,ffmpeg-people-598,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1562935660-6235-1-git-send-email-hwrenx@126.com/,superseded,
1,,ffmpeg-change2-12108,ffmpeg-patch-13918,"[FFmpeg-devel,v3,1/3] lavc/avs2_parser.c: fix for missing start code",2019-07-12T15:21:32,,ffmpeg-newseries-2244,ffmpeg-individual-187,ffmpeg-people-598,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1562944894-29396-2-git-send-email-hwrenx@126.com/,new,
2,,ffmpeg-change2-12108,ffmpeg-patch-14030,"[FFmpeg-devel,v4,1/3] lavc/avs2_parser.c: fix missing start code",2019-07-22T04:23:36,,ffmpeg-newseries-2260,ffmpeg-individual-187,ffmpeg-people-598,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1563769418-18983-2-git-send-email-hwrenx@126.com/,superseded,
3,,ffmpeg-change2-12108,ffmpeg-patch-14033,"[FFmpeg-devel,v5,1/3] lavc/avs2_parser.c: fix missing start code",2019-07-22T07:13:53,,ffmpeg-newseries-2261,ffmpeg-individual-187,ffmpeg-people-598,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1563779635-20749-2-git-send-email-hwrenx@126.com/,new,
4,1,ffmpeg-change2-23616,ffmpeg-patch-37193,[FFmpeg-devel] avformat/wavdec: fix the ID3 metadata obtained in WAV format's missing,2022-08-09T12:02:56,ffmpeg-series-7186,,ffmpeg-individual-547,ffmpeg-people-1471,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/fa3062518d8a4fb4871d2758ee71881a@huawei.com/,new,
5,,ffmpeg-change2-23616,ffmpeg-patch-37281,[FFmpeg-devel] 答复: [PATCH] avformat/wavdec: fix the ID3 metadata obtained in WAV format's missing,2022-08-15T11:32:11,ffmpeg-series-7219,,ffmpeg-individual-547,ffmpeg-people-1471,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/6488cd9cc9b2419b9e259fe4f5ff0c9e@huawei.com/,new,
6,,ffmpeg-change2-23616,ffmpeg-patch-37369,[FFmpeg-devel] 答复: [PATCH] avformat/wavdec: fix the ID3 metadata obtained in WAV format's missing,2022-08-20T10:23:08,ffmpeg-series-7260,,ffmpeg-individual-547,ffmpeg-people-1471,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/fcee6c91ec6c4b71bc30f19c9edc6115@huawei.com/,new,
7,,ffmpeg-change2-23616,ffmpeg-patch-37385,[FFmpeg-devel] avformat/wavdec: fix the ID3 metadata obtained in WAV format's missing,2022-08-22T13:59:45,ffmpeg-series-7271,,ffmpeg-individual-547,ffmpeg-people-1471,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/2353fb95968f447f88e22aaa17025b38@huawei.com/,new,
8,2,ffmpeg-change2-13689,ffmpeg-patch-14651,[FFmpeg-devel] libavfilter: Add dehaze-filter option in existing derain filter.,2019-08-22T09:08:27,,,ffmpeg-individual-360,ffmpeg-people-806,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/20190822090827.111-1-xwmeng96@gmail.com/,new,
9,,ffmpeg-change2-13689,ffmpeg-patch-14654,"[FFmpeg-devel,v2] libavfilter: Add dehaze-filter option in existing derain.",2019-08-22T10:28:44,,,ffmpeg-individual-360,ffmpeg-people-806,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/20190822102844.63-1-xwmeng96@gmail.com/,new,
10,3,ffmpeg-change2-12395,ffmpeg-patch-3730,[FFmpeg-devel] RFQ on patch for decklink warnings,2017-05-23T22:06:37,,,ffmpeg-individual-604,ffmpeg-people-341,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/20D1B1B3-BFC7-4838-BD4A-968881A10095@dish.com/,new,
11,,ffmpeg-change2-12395,ffmpeg-patch-3759,[FFmpeg-devel] FW: RFQ on patch for decklink warnings,2017-05-29T14:58:56,,,ffmpeg-individual-604,ffmpeg-people-341,1,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/47BFF55A-B4C8-469D-9120-11014441BA0F@dish.com/,new,
12,4,ffmpeg-change2-9340,ffmpeg-patch-22127,[FFmpeg-devel] Added MKV tag for AVS2 codec,2020-09-06T08:48:13,ffmpeg-series-2245,,ffmpeg-individual-221,ffmpeg-people-1071,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/BYAPR03MB453693D29525A6BE60CF8864B82B0@BYAPR03MB4536.namprd03.prod.outlook.com/,new,
13,,ffmpeg-change2-9340,ffmpeg-patch-22128,"[FFmpeg-devel,V2] Added MKV tag for AVS2 video codec",2020-09-06T10:40:22,ffmpeg-series-2246,,ffmpeg-individual-221,ffmpeg-people-1071,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/BYAPR03MB4536A0370628666C47A4F4E1B82B0@BYAPR03MB4536.namprd03.prod.outlook.com/,new,
14,,ffmpeg-change2-9340,ffmpeg-patch-22164,[FFmpeg-devel] Added MKV tag for AVS2 video codec,2020-09-08T07:03:49,ffmpeg-series-2261,,ffmpeg-individual-221,ffmpeg-people-1071,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/BYAPR03MB4536CB5B53A72F6EFB8ACC77B8290@BYAPR03MB4536.namprd03.prod.outlook.com/,new,
15,5,ffmpeg-change2-20824,ffmpeg-patch-7892,"[FFmpeg-devel] doc/utils: document the ""ms"" and ""us"" suffixes for durations",2018-03-10T18:32:09,,,ffmpeg-individual-171,ffmpeg-people-35,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/20180310183209.GC2159@sunshine.barsnick.net/,new,
16,,ffmpeg-change2-20824,ffmpeg-patch-20220,"[FFmpeg-devel,v2] doc/utils: document the ""s"", ""ms"" and ""us"" suffixes for durations",2020-06-08T15:39:00,ffmpeg-series-1443,,ffmpeg-individual-171,ffmpeg-people-35,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/20200608153900.3746-1-barsnick@gmx.net/,accepted,
17,6,ffmpeg-change2-19578,ffmpeg-patch-1591,[FFmpeg-devel] Save FFmpeg colorspace info in openh264 video files.,2016-11-28T22:25:14,,,ffmpeg-individual-706,ffmpeg-people-187,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1480371914-7660-1-git-send-email-gregory.wolfe@kodakalaris.com/,superseded,
18,,ffmpeg-change2-19578,ffmpeg-patch-1651,[FFmpeg-devel] Save FFmpeg colorspace info in openh264 video files.,2016-12-01T21:26:56,,,ffmpeg-individual-706,ffmpeg-people-187,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1480627616-16220-1-git-send-email-gregory.wolfe@kodakalaris.com/,superseded,
19,,ffmpeg-change2-19578,ffmpeg-patch-1733,[FFmpeg-devel] Save FFmpeg colorspace info in openh264 video files.,2016-12-09T18:15:14,,,ffmpeg-individual-706,ffmpeg-people-187,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1481307314-5296-1-git-send-email-gregory.wolfe@kodakalaris.com/,changes-requested,
20,,ffmpeg-change2-19578,ffmpeg-patch-1784,[FFmpeg-devel] libavcodec/libopenh264enc: Save FFmpeg colorspace info in openh264 video files.,2016-12-14T19:47:49,,,ffmpeg-individual-706,ffmpeg-people-187,,,https://patchwork.ffmpeg.org/project/ffmpeg/patch/1481744869-8220-1-git-send-email-gregory.wolfe@kodakalaris.com/,new,
