,id,change1_original_id,patch_original_id,patch_name,date,series,newseries,submitter_individual,submitter_identity,is_correct,comment,web_url,state,commit_ref
0,0,kernel-change1-1091073,kernel-patch-12779014,[v4] net: ksz884x: optimize netdev_open flow and remove static variable,2022-03-13T03:27:48,kernel-series-622917,,kernel-individual-23989,kernel-people-204829,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220313032748.3642-1-wudaemon@163.com/,superseded,
1,,kernel-change1-1091073,kernel-patch-12781383,"[net-next,v4] net: ksz884x: optimize netdev_open flow and remove static variable",2022-03-15T12:28:57,kernel-series-623511,,kernel-individual-23989,kernel-people-204829,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220315122857.78601-1-wudaemon@163.com/,accepted,af1147b236da553544bed1ed8b683510e1278308
2,1,kernel-change1-1106035,kernel-patch-11999641,[net] dt-bindings: net: dwmac: fix queue priority documentation,2021-01-05T15:47:48,kernel-series-409453,,kernel-individual-23309,kernel-people-196825,,,https://patchwork.kernel.org/project/netdevbpf/patch/20210105154747.1158827-1-sebastien.laveze@oss.nxp.com/,superseded,
3,,kernel-change1-1106035,kernel-patch-12009927,"[v1,net] dt-bindings: net: dwmac: fix queue priority documentation",2021-01-11T08:14:07,kernel-series-412147,,kernel-individual-23309,kernel-people-196825,,,https://patchwork.kernel.org/project/netdevbpf/patch/20210111081406.1348622-1-sebastien.laveze@oss.nxp.com/,accepted,938288349ca8a9d4b936bf5d2f6dd4526a598974
4,2,kernel-change1-1094177,kernel-patch-12705839,"[RFC,bpf-next,v1,2/8] bpf: Record back pointer to the inode in bpffs",2022-01-06T21:50:53,kernel-series-603336,kernel-newseries-311183,kernel-individual-22934,kernel-people-193093,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220106215059.2308931-3-haoluo@google.com/,superseded,
5,,kernel-change1-1094177,kernel-patch-12711860,"[RESEND,RFC,bpf-next,v1,2/8] bpf: Record back pointer to the inode in bpffs",2022-01-12T19:25:41,kernel-series-604959,kernel-newseries-311261,kernel-individual-22934,kernel-people-193093,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220112192547.3054575-3-haoluo@google.com/,superseded,
6,,kernel-change1-1094177,kernel-patch-12711869,"[RESEND,RFC,bpf-next,v1,2/8] bpf: Record back pointer to the inode in bpffs",2022-01-12T19:31:46,kernel-series-604960,kernel-newseries-311262,kernel-individual-22934,kernel-people-193093,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220112193152.3058718-3-haoluo@google.com/,rfc,
7,3,kernel-change1-1091402,kernel-patch-12756332,"[mlx5-next,15/17] RDMA/mlx5: Use new command interface API",2022-02-23T05:09:30,kernel-series-617005,kernel-newseries-311839,kernel-individual-23076,kernel-people-194567,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220223050932.244668-16-saeed@kernel.org/,awaiting-upstream,
8,,kernel-change1-1091402,kernel-patch-12757687,"[for-next,v2,15/17] RDMA/mlx5: Use new command interface API",2022-02-23T23:39:28,kernel-series-617354,kernel-newseries-311850,kernel-individual-23076,kernel-people-194567,1,,https://patchwork.kernel.org/project/netdevbpf/patch/20220223233930.319301-16-saeed@kernel.org/,accepted,
9,4,kernel-change1-1088301,kernel-patch-12479303,[v1] net: macb: fix use after free on rmmod,2021-09-07T20:29:58,kernel-series-543333,,kernel-individual-22983,kernel-people-193929,,,https://patchwork.kernel.org/project/netdevbpf/patch/20210907202958.692166-1-ztong0001@gmail.com/,superseded,
10,,kernel-change1-1088301,kernel-patch-12481691,[v2] net: macb: fix use after free on rmmod,2021-09-08T19:02:32,kernel-series-543959,,kernel-individual-22983,kernel-people-193929,,,https://patchwork.kernel.org/project/netdevbpf/patch/20210908190232.573178-1-ztong0001@gmail.com/,accepted,d82d5303c4c539db86588ffb5dc5b26c3f1513e8
