,change2_original_id,patch_original_id,patch_name,correct_grouping
0,ozlabs-change2-516201,ozlabs-patch-748880,"[U-Boot,1/2] ARM: import arm-smccc from Linux 4.11-rc6",1
1,,ozlabs-patch-750221,"[U-Boot,v2,1/3] ARM: import arm-smccc code from Linux 4.11-rc6",1
2,,ozlabs-patch-750703,"[U-Boot,v3,1/3] ARM: import arm-smccc code from Linux 4.11-rc6",1
3,ozlabs-change2-562177,ozlabs-patch-754517,"[U-Boot,06/13] fix: phy: marvell: comphy: cp110: sata: update analog parameters according to latest ETP",1
4,,ozlabs-patch-754531,"[U-Boot,v2,06/13] fix: phy: marvell: cp110: sata: update analog parameters according to latest ETP",1
5,ozlabs-change2-525203,ozlabs-patch-903085,"[U-Boot,1/2,RFC] new command: wol - Wake on LAN",1
6,,ozlabs-patch-933588,"[U-Boot,v2,1/1] net: new command: wol - Wake on LAN",1
7,ozlabs-change2-516854,ozlabs-patch-260550,[U-Boot] arm:samsung:serial: Extract common Samsung UART code,1
8,,ozlabs-patch-261970,"[U-Boot,v2] arm:samsung:serial Extract common UART code",1
9,,ozlabs-patch-266642,"[U-Boot,v3,1/3] arm:samsung:serial Extract common UART code",1
10,ozlabs-change2-509800,ozlabs-patch-262025,[U-Boot] video: mxc_ipuv3: fix memory alignment of framebuffer,1
11,,ozlabs-patch-262366,"[U-Boot,v2] mxc_ipuv3: fix memory alignment of framebuffer",1
12,ozlabs-change2-546507,ozlabs-patch-390652,"[U-Boot,5/7] common: spl: Add interactive DDR debugger support for SPL",1
13,,ozlabs-patch-393657,"[U-Boot,v2,4/7] common: spl: Add interactive DDR debugger support for SPL",1
14,,ozlabs-patch-400436,"[U-Boot,v3,4/8] common: spl: Add interactive DDR debugger support for SPL image",1
15,,ozlabs-patch-417266,"[U-Boot,v4,4/9] common: spl: Add interactive DDR debugger support for SPL image",1
16,ozlabs-change2-541384,ozlabs-patch-391970,"[U-Boot,WIP,1/2] spi: Add Cadence QSPI driver used by SoCFPGA",1
17,,ozlabs-patch-392526,"[U-Boot,WIP,1/4,v2] spi: Add Cadence QSPI driver used by SoCFPGA",1
18,,ozlabs-patch-395574,"[U-Boot,1/4,v3] spi: Add Cadence QSPI driver used by SoCFPGA",1
19,,ozlabs-patch-408075,"[U-Boot,1/4,v4] spi: Add Cadence QSPI DM driver used by SoCFPGA",1
20,ozlabs-change2-512189,ozlabs-patch-121947,"[U-Boot,RFC,3/3] sandbox: WIP: add basic command line parsing",1
21,,ozlabs-patch-135344,"[U-Boot,v2,8/8] sandbox: Add basic command line parsing",1
22,,ozlabs-patch-137270,"[U-Boot,v3,8/8] sandbox: Add basic command line parsing",1
23,,ozlabs-patch-141438,"[U-Boot,v4,8/8] sandbox: Add basic command line parsing",1
24,ozlabs-change2-549990,ozlabs-patch-230283,[U-Boot] omap5: Allow use of a plain text env file,1
25,,ozlabs-patch-231083,"[U-Boot,V3,3/5] ARM: OMAP5: Allow use of a plain text env file",1
26,,ozlabs-patch-232773,"[U-Boot,V4,3/5] omap5: Allow use of a plain text env file",1
27,ozlabs-change2-488302,ozlabs-patch-534597,"[U-Boot,v4,06/24] spi: cadence_qspi_apb: Use BIT macro",0
28,,ozlabs-patch-535347,"[U-Boot,v5,06/23] spi: cadence_qspi_apb: Use BIT macro",0
29,,ozlabs-patch-557533,"[U-Boot,7/8] spi: Use BIT macro",0
30,,ozlabs-patch-561380,"[U-Boot,v2,07/10] spi: Use BIT macro",0
31,ozlabs-change2-489430,ozlabs-patch-126974,"[U-Boot,RFC,5/7] reboard: arm: Add processor function library",1
32,,ozlabs-patch-130552,"[U-Boot,v2,4/6] reboard: arm: Add processor function library",1
33,,ozlabs-patch-133255,"[U-Boot,v3,4/6] arm: Add processor function library",1
34,,ozlabs-patch-136360,"[U-Boot,RESEND,v3,4/6] arm: Add processor function library",1
35,ozlabs-change2-552224,ozlabs-patch-468125,"[U-Boot,4/5] usb: ehci: Fix handover of full-speed devices to companion",1
36,,ozlabs-patch-470433,"[U-Boot,v5,01/15] usb: Fix handover of full-speed devices from ehci to companion",1
37,ozlabs-change2-508521,ozlabs-patch-1590800,"[v1,2/3] mach-sunxi: Add spi boot for SUNIV",1
38,,ozlabs-patch-1591934,"[v2,2/3] mach-sunxi: Add SPL SPI boot for SUNIV",1
39,ozlabs-change2-561890,ozlabs-patch-357889,"[U-Boot,03/10] board:samsung: check the mmc boot device and init the right mmc driver.",1
40,,ozlabs-patch-359059,"[U-Boot,v2,03/11] board:samsung: check the mmc boot device and init the right mmc driver.",1
41,,ozlabs-patch-364558,"[U-Boot,v3,03/11] board:samsung: check the boot device and init the right mmc driver.",1
42,,ozlabs-patch-366330,"[U-Boot,v4,04/12] board:samsung: check the boot device and init the right mmc driver.",1
43,,ozlabs-patch-371115,"[U-Boot,v5,04/12] board:samsung: check the boot device and init the right mmc driver.",1
44,,ozlabs-patch-371611,"[U-Boot,v6,04/12] board:samsung: check the boot device and init the right mmc driver.",1
45,,ozlabs-patch-374805,"[U-Boot,v7,04/12] board:samsung: check the boot device and init the right mmc driver.",1
46,,ozlabs-patch-384787,"[U-Boot,v8,04/12] board:samsung: check the boot device and init the right mmc driver.",1
47,ozlabs-change2-536516,ozlabs-patch-97837,"[U-Boot,RFC,2/5,Timer] Fix misuse of ARM *timer_masked() functions outside arch/arm",1
48,,ozlabs-patch-102356,"[U-Boot,v1,(WIP),01/16,Timer] Fix misuse of ARM *timer_masked() functions outside arch/arm",1
49,,ozlabs-patch-104809,"[U-Boot,v2,1/7] Timer: Fix misuse of ARM *timer_masked() functions outside arch/arm",1
50,,ozlabs-patch-104935,"[U-Boot,v3,1/7] Timer: Fix misuse of ARM *timer_masked() functions outside arch/arm",1
51,ozlabs-change2-536367,ozlabs-patch-156469,"[U-Boot,5/5] exynos5: usb: Enable USB 2.0 on smdk5250",1
52,,ozlabs-patch-156873,"[U-Boot,6/6,V2] config: EXYNOS5: USB: Enable USB 2.0 on smdk5250",1
53,,ozlabs-patch-157662,"[U-Boot,6/6,V3] CONFIG: EXYNOS5: USB: Enable USB 2.0 on smdk5250",1
54,,ozlabs-patch-159047,"[U-Boot,6/6,V4] CONFIG: EXYNOS5: USB: Enable USB 2.0 on smdk5250",1
55,ozlabs-change2-508512,ozlabs-patch-535391,"[U-Boot,08/13] m68k: bitops: Use the generic bitops headers",1
56,,ozlabs-patch-535423,"[U-Boot,v2,07/12] m68k: bitops: Use the generic bitops headers",1
57,,ozlabs-patch-535609,"[U-Boot,v3,07/12] m68k: bitops: Use the generic bitops headers",1
58,,ozlabs-patch-536090,"[U-Boot,v4,05/16] m68k: bitops: Use the generic bitops headers",1
59,,ozlabs-patch-539160,"[U-Boot,v5,05/18] m68k: bitops: Use the generic bitops headers",1
60,,ozlabs-patch-540454,"[U-Boot,v7,05/21] m68k: Use the generic bitops headers",1
61,ozlabs-change2-494050,ozlabs-patch-152009,"[U-Boot,1/8] i.MX25: add mxc_get_clock infrastructure",1
62,,ozlabs-patch-152281,"[U-Boot,1/9] i.MX25: esdhc: Add mxc_get_clock infrastructure",1
63,,ozlabs-patch-153424,"[U-Boot,1/9] i.MX25: esdhc: Add mxc_get_clock infrastructure",1
64,,ozlabs-patch-153692,"[U-Boot,V4,1/8] i.MX25: esdhc: Add mxc_get_clock infrastructure",1
65,ozlabs-change2-500503,ozlabs-patch-506569,[U-Boot] Add clarifications to the x86 README,1
66,,ozlabs-patch-506587,[U-Boot] Add clarifications to the x86 README,1
67,,ozlabs-patch-506974,[U-Boot] x86: Add clarifications to the x86 README,1
68,,ozlabs-patch-507022,[U-Boot] x86: Add clarifications to the x86 README,1
69,ozlabs-change2-493924,ozlabs-patch-1221523,gitlab/azure: Update to latest container,0
70,,ozlabs-patch-1224933,gitlab/azure: Update to latest container tag,0
71,ozlabs-change2-550424,ozlabs-patch-329102,[U-Boot] powerpc/mpc85xx: SECURE BOOT- Add secure boot target for BSC9132QDS,0
