change1_original_id,patch_original_id,patch_name,date,is_correct
ozlabs-change1-305658,ozlabs-patch-735840,[05/10] block: Fix blockdev-snapshot error handling,2017-03-06T16:21:57,1
ozlabs-change1-305658,ozlabs-patch-736226,"[PULL,05/27] block: Fix blockdev-snapshot error handling",2017-03-07T15:40:29,1
ozlabs-change1-365912,ozlabs-patch-639166,"[v2,12/14] isa: introduce wrapper isa_connect_gpio_out",2016-06-22T12:24:56,1
ozlabs-change1-365912,ozlabs-patch-641651,"[PULL,15/32] isa: introduce wrapper isa_connect_gpio_out",2016-06-28T17:33:45,1
ozlabs-change1-317985,ozlabs-patch-1441942,[4/5] tcg/tci: Merge identical cases in generation (conditional opcodes),2021-02-18T23:28:39,1
ozlabs-change1-317985,ozlabs-patch-1446178,[10/27] tcg/tci: Merge identical cases in generation (conditional opcodes),2021-03-02T17:57:24,1
ozlabs-change1-317985,ozlabs-patch-1448525,"[PULL,10/27] tcg/tci: Merge identical cases in generation (conditional opcodes)",2021-03-06T21:35:56,1
ozlabs-change1-306827,ozlabs-patch-1199575,"[v2,7/9] monitor/hmp: move remaining hmp_block* functions to block-hmp-cmds.c",2019-11-22T16:48:05,1
ozlabs-change1-306827,ozlabs-patch-1229685,"[v3,09/13] monitor/hmp: move remaining hmp_block* functions to block-hmp-cmds.c",2020-01-27T10:36:43,1
ozlabs-change1-306827,ozlabs-patch-1231407,"[v4,09/11] monitor/hmp: move remaining hmp_block* functions to block-hmp-cmds.c",2020-01-30T12:34:46,1
ozlabs-change1-306827,ozlabs-patch-1251008,"[v5,09/11] monitor/hmp: move remaining hmp_block* functions to block-hmp-cmds.c",2020-03-08T09:24:38,1
ozlabs-change1-306827,ozlabs-patch-1251807,"[PULL,09/12] monitor/hmp: move remaining hmp_block* functions to block-hmp-cmds.c",2020-03-09T19:46:47,1
ozlabs-change1-294137,ozlabs-patch-1424670,"[RFC,4/5] tcg: Restrict tcg_out_op() to arrays of TCG_MAX_OP_ARGS elements",2021-01-11T15:01:13,1
ozlabs-change1-294137,ozlabs-patch-1425926,"[v2,5/6] tcg: Restrict tcg_out_op() to arrays of TCG_MAX_OP_ARGS elements",2021-01-13T17:24:58,1
ozlabs-change1-348998,ozlabs-patch-1523599,"[v2,3/9] escc: introduce escc_soft_reset_chn() for software reset",2021-09-02T10:21:59,1
ozlabs-change1-348998,ozlabs-patch-1524281,"[v3,3/9] escc: introduce escc_soft_reset_chn() for software reset",2021-09-03T11:32:17,1
ozlabs-change1-348998,ozlabs-patch-1525821,"[PULL,06/12] escc: introduce escc_soft_reset_chn() for software reset",2021-09-08T11:54:45,1
ozlabs-change1-341490,ozlabs-patch-792142,[3/9] tests: Pass literal format strings directly to qmp_FOO(),2017-07-21T13:53:20,1
ozlabs-change1-341490,ozlabs-patch-793650,"[v3,04/12] tests: Pass literal format strings directly to qmp_FOO()",2017-07-25T21:15:15,1
ozlabs-change1-341490,ozlabs-patch-942941,[10/20] tests: Pass literal format strings directly to qmp_FOO(),2018-07-12T11:12:11,1
ozlabs-change1-341490,ozlabs-patch-950254,"[v2,10/23] tests: Pass literal format strings directly to qmp_FOO()",2018-07-27T15:13:46,1
ozlabs-change1-341490,ozlabs-patch-950764,"[v3,10/23] tests: Pass literal format strings directly to qmp_FOO()",2018-07-30T08:33:04,1
ozlabs-change1-341490,ozlabs-patch-953725,"[v3,11/23] tests: Pass literal format strings directly to qmp_FOO()",2018-08-06T06:53:32,1
ozlabs-change1-341490,ozlabs-patch-958177,"[PULL,11/25] tests: Pass literal format strings directly to qmp_FOO()",2018-08-16T08:36:47,1
ozlabs-change1-297301,ozlabs-patch-1424222,[08/23] audio: split pcm_ops function get_buffer_in,2021-01-10T10:02:24,1
ozlabs-change1-297301,ozlabs-patch-1427018,"[PULL,08/30] audio: split pcm_ops function get_buffer_in",2021-01-15T13:21:24,1
ozlabs-change1-353255,ozlabs-patch-330344,[2/4] s390x/cpu hotplug: Fix memory leak,2014-03-14T15:17:10,1
ozlabs-change1-353255,ozlabs-patch-331179,"[PULL,2/4] s390x/cpu hotplug: Fix memory leak",2014-03-17T21:38:25,1
ozlabs-change1-251250,ozlabs-patch-509235,[02/10] vexpress: Don't set name on abstract class,2015-08-20T21:54:28,1
ozlabs-change1-251250,ozlabs-patch-519743,"[PULL,05/21] vexpress: Don't set name on abstract class",2015-09-19T14:43:14,1
ozlabs-change1-255786,ozlabs-patch-68935,[01/18] backdoor: Handle config-time activation,2010-10-18T17:24:26,1
ozlabs-change1-255786,ozlabs-patch-70054,"[v1,2/6] backdoor: handle config-time activation",2010-11-03T19:49:03,1
ozlabs-change1-255786,ozlabs-patch-70182,"[v2,2/6] backdoor: handle config-time activation",2010-11-04T22:35:26,1
ozlabs-change1-356567,ozlabs-patch-529719,"[v4,1/7] qom: introduce ObjectPropertyIterator struct for iteration",2015-10-13T12:37:40,1
ozlabs-change1-356567,ozlabs-patch-546186,"[PULL,02/10] qom: Introduce ObjectPropertyIterator struct for iteration",2015-11-18T20:22:33,1
ozlabs-change1-356567,ozlabs-patch-546194,"[PULL,02/10] qom: Introduce ObjectPropertyIterator struct for iteration",2015-11-18T20:39:30,1
ozlabs-change1-356567,ozlabs-patch-546499,"[PULL,v2,02/10] qom: Introduce ObjectPropertyIterator struct for iteration",2015-11-19T14:36:00,1
ozlabs-change1-290888,ozlabs-patch-729326,tests: Use error_free_or_abort() where appropriate,2017-02-17T20:15:54,0
ozlabs-change1-290888,ozlabs-patch-739218,"[PULL,1/2] tests: Use error_free_or_abort() where appropriate",2017-03-15T13:18:06,0
ozlabs-change1-290888,ozlabs-patch-1314254,[05/22] tests: Use error_free_or_abort() where appropriate,2020-06-22T10:42:33,0
ozlabs-change1-290888,ozlabs-patch-1315954,"[v2,05/25] tests: Use error_free_or_abort() where appropriate",2020-06-24T08:37:17,0
ozlabs-change1-290888,ozlabs-patch-1319632,"[v3,05/26] tests: Use error_free_or_abort() where appropriate",2020-06-30T09:03:30,0
ozlabs-change1-290888,ozlabs-patch-1321259,"[PULL,07/28] tests: Use error_free_or_abort() where appropriate",2020-07-02T11:09:10,0
