,id,change1_original_id,patch_original_id,patch_name,date,series,newseries,submitter_individual,submitter_identity,is_correct,comment,web_url,state,commit_ref
0,0,ozlabs-change1-547538,ozlabs-patch-262923,"[U-Boot,v2,6/6] sf: Fix code cleanups",2013-07-29T17:24:53,,ozlabs-newseries-108833,ozlabs-individual-28447,ozlabs-people-21769,1,,https://patchwork.ozlabs.org/project/uboot/patch/a6088508-39e8-4115-9b6a-8cdefc0e49e4@CH1EHSMHS029.ehs.local/,superseded,
1,,ozlabs-change1-547538,ozlabs-patch-264463,"[U-Boot,RESEND,v2,6/6] sf: Fix code cleanups",2013-08-04T05:48:38,,ozlabs-newseries-108852,ozlabs-individual-28447,ozlabs-people-21769,1,,https://patchwork.ozlabs.org/project/uboot/patch/e5561eb2-9dab-4ef8-aeb9-e86958bafea8@CO1EHSMHS013.ehs.local/,accepted,
2,1,ozlabs-change1-558719,ozlabs-patch-654683,"[U-Boot,2/7] net/ethoc: use priv instead of dev internally",2016-08-02T11:31:05,,ozlabs-newseries-113466,ozlabs-individual-26508,ozlabs-people-2793,0,multiple commits,https://patchwork.ozlabs.org/project/uboot/patch/1470137470-6051-3-git-send-email-jcmvbkbc@gmail.com/,accepted,a84a757ae7cf844a5ec3e7c32226b48667dedac2
3,,ozlabs-change1-558719,ozlabs-patch-656238,"[U-Boot,v2,2/7] net/ethoc: use priv instead of dev internally",2016-08-05T15:26:16,,ozlabs-newseries-113476,ozlabs-individual-26508,ozlabs-people-2793,0,multiple commits,https://patchwork.ozlabs.org/project/uboot/patch/1470410781-7944-3-git-send-email-jcmvbkbc@gmail.com/,accepted,a84a757
4,2,ozlabs-change1-548613,ozlabs-patch-325243,"[U-Boot,2/2] cmd:gpt: randomly generate each partition uuid if undefined",2014-02-28T15:18:32,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/722df36b26b2bb5657a113a7aabe72d95e475ca4.1393600504.git.p.marczak@samsung.com/,changes-requested,
5,,ozlabs-change1-548613,ozlabs-patch-327079,"[U-Boot,V2,3/3] cmd:gpt: randomly generate each partition uuid if undefined",2014-03-05T16:45:22,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/fa6104dbca3525ccabccb6d8e63d592f74575285.1394037321.git.p.marczak@samsung.com/,changes-requested,
6,,ozlabs-change1-548613,ozlabs-patch-330333,"[U-Boot,v3,3/3] cmd:gpt: randomly generate each partition uuid if undefined",2014-03-14T14:37:28,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/e7d9246677ecb9a8c774e9e5f8d31ae3fd53d487.1394807506.git.p.marczak@samsung.com/,superseded,
7,,ozlabs-change1-548613,ozlabs-patch-331819,"[U-Boot,v4,5/6] cmd:gpt: randomly generate each partition uuid if undefined",2014-03-19T17:58:30,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/1395251911-26540-5-git-send-email-p.marczak@samsung.com/,changes-requested,
8,,ozlabs-change1-548613,ozlabs-patch-335953,"[U-Boot,v5,5/6] cmd:gpt: randomly generate each partition uuid if undefined",2014-04-01T14:30:42,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/1396362643-4280-5-git-send-email-p.marczak@samsung.com/,superseded,
9,,ozlabs-change1-548613,ozlabs-patch-336274,"[U-Boot,v6,5/6] cmd:gpt: randomly generate each partition uuid if undefined",2014-04-02T08:20:06,,,ozlabs-individual-28479,ozlabs-people-23519,,,https://patchwork.ozlabs.org/project/uboot/patch/1396426807-30510-5-git-send-email-p.marczak@samsung.com/,accepted,
10,3,ozlabs-change1-535696,ozlabs-patch-1106201,"[U-Boot,6/6] riscv: ax25: use CCTL to flush d-cache",2019-05-28T09:39:14,ozlabs-series-110294,ozlabs-newseries-116098,ozlabs-individual-26363,ozlabs-people-28639,,,https://patchwork.ozlabs.org/project/uboot/patch/20190528093914.4672-7-uboot@andestech.com/,superseded,
11,,ozlabs-change1-535696,ozlabs-patch-1129655,"[U-Boot,v2,7/7] riscv: ax25: use CCTL to flush d-cache",2019-07-09T09:28:14,ozlabs-series-118510,ozlabs-newseries-121531,ozlabs-individual-26363,ozlabs-people-28639,,,https://patchwork.ozlabs.org/project/uboot/patch/20190709092814.21363-8-uboot@andestech.com/,superseded,
12,4,ozlabs-change1-538611,ozlabs-patch-764151,"[U-Boot,09/10] mips: bmips: enable the SPI flash on the Sagem F@ST1704",2017-05-18T19:29:47,,ozlabs-newseries-120003,ozlabs-individual-26784,ozlabs-people-64520,,,https://patchwork.ozlabs.org/project/uboot/patch/1495135788-9152-10-git-send-email-noltari@gmail.com/,superseded,
13,,ozlabs-change1-538611,ozlabs-patch-765546,"[U-Boot,v2,09/10] mips: bmips: enable the SPI flash on the Sagem F@ST1704",2017-05-22T18:21:36,,ozlabs-newseries-120026,ozlabs-individual-26784,ozlabs-people-64520,,,https://patchwork.ozlabs.org/project/uboot/patch/1495477297-29230-10-git-send-email-noltari@gmail.com/,superseded,
